"filename", "language", "CSV", "XML", "C#", "JSON", "Properties", "comment", "blank", "total"
"c:\Users\foard\OneDrive\Desktop\Classes\Code\CSE210\cse210-hw\prove\Develop02\Develop02.csproj", "XML", 0, 8, 0, 0, 0, 0, 4, 12
"c:\Users\foard\OneDrive\Desktop\Classes\Code\CSE210\cse210-hw\prove\Develop02\EditFile.cs", "C#", 0, 0, 38, 0, 0, 9, 8, 55
"c:\Users\foard\OneDrive\Desktop\Classes\Code\CSE210\cse210-hw\prove\Develop02\Menu.cs", "C#", 0, 0, 14, 0, 0, 10, 3, 27
"c:\Users\foard\OneDrive\Desktop\Classes\Code\CSE210\cse210-hw\prove\Develop02\NewEntry.cs", "C#", 0, 0, 26, 0, 0, 8, 7, 41
"c:\Users\foard\OneDrive\Desktop\Classes\Code\CSE210\cse210-hw\prove\Develop02\Program.cs", "C#", 0, 0, 8, 0, 0, 11, 7, 26
"c:\Users\foard\OneDrive\Desktop\Classes\Code\CSE210\cse210-hw\prove\Develop02\bin\Debug\net7.0\Develop02.deps.json", "JSON", 0, 0, 0, 23, 0, 0, 0, 23
"c:\Users\foard\OneDrive\Desktop\Classes\Code\CSE210\cse210-hw\prove\Develop02\bin\Debug\net7.0\Develop02.runtimeconfig.json", "JSON", 0, 0, 0, 9, 0, 0, 0, 9
"c:\Users\foard\OneDrive\Desktop\Classes\Code\CSE210\cse210-hw\prove\Develop02\journal.csv", "CSV", 2, 0, 0, 0, 0, 0, 1, 3
"c:\Users\foard\OneDrive\Desktop\Classes\Code\CSE210\cse210-hw\prove\Develop02\obj\Debug\net7.0\.NETCoreApp,Version=v7.0.AssemblyAttributes.cs", "C#", 0, 0, 3, 0, 0, 1, 1, 5
"c:\Users\foard\OneDrive\Desktop\Classes\Code\CSE210\cse210-hw\prove\Develop02\obj\Debug\net7.0\Develop02.AssemblyInfo.cs", "C#", 0, 0, 9, 0, 0, 9, 5, 23
"c:\Users\foard\OneDrive\Desktop\Classes\Code\CSE210\cse210-hw\prove\Develop02\obj\Debug\net7.0\Develop02.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 0, 11, 0, 1, 12
"c:\Users\foard\OneDrive\Desktop\Classes\Code\CSE210\cse210-hw\prove\Develop02\obj\Debug\net7.0\Develop02.GlobalUsings.g.cs", "C#", 0, 0, 7, 0, 0, 1, 1, 9
"c:\Users\foard\OneDrive\Desktop\Classes\Code\CSE210\cse210-hw\prove\Develop02\obj\Develop02.csproj.nuget.dgspec.json", "JSON", 0, 0, 0, 67, 0, 0, 0, 67
"c:\Users\foard\OneDrive\Desktop\Classes\Code\CSE210\cse210-hw\prove\Develop02\obj\Develop02.csproj.nuget.g.props", "XML", 0, 16, 0, 0, 0, 0, 0, 16
"c:\Users\foard\OneDrive\Desktop\Classes\Code\CSE210\cse210-hw\prove\Develop02\obj\Develop02.csproj.nuget.g.targets", "XML", 0, 2, 0, 0, 0, 0, 0, 2
"c:\Users\foard\OneDrive\Desktop\Classes\Code\CSE210\cse210-hw\prove\Develop02\obj\project.assets.json", "JSON", 0, 0, 0, 73, 0, 0, 0, 73
"c:\Users\foard\OneDrive\Desktop\Classes\Code\CSE210\cse210-hw\prove\Develop02\options.csv", "CSV", 4, 0, 0, 0, 0, 0, 0, 4
"c:\Users\foard\OneDrive\Desktop\Classes\Code\CSE210\cse210-hw\prove\Develop02\prompts.csv", "CSV", 5, 0, 0, 0, 0, 0, 0, 5
"Total", "-", 11, 26, 105, 172, 11, 49, 38, 412